kepid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
6863998,Kepler-709,b,Kepler-709 b,Transit,0,1,16.08524954,2.644E-5,-2.644E-5,0,,,,,,,,,,,,,,,,,,0.261,0.016,-0.017,0,,,,,0,1,0,1,19h28m25.25s,292.105207,+42d22m49.1s,42.380318,668.0,41.44,-45.96,0,677.61,12.1,-12.1,0,15.219,,0,Kepler-band,15.197,,0,5071.0,83.59,-83.42,0,0.8,0.04,-0.05,0,0.77,0.04,-0.05,0,2016-05-10,Kepler
7118364,Kepler-710,b,Kepler-710 b,Transit,0,1,4.34728553,8.34E-6,-8.34E-6,0,,,,,,,,,,,,,,,,,,0.168,0.021,-0.013,0,,,,,0,1,0,1,19h27m51.40s,291.964161,+42d41m46.1s,42.696144,919.0,122.11,-78.32,0,1510.8,47.07,-47.07,0,15.024,,0,Kepler-band,15.011,,0,5611.0,156.89,-127.02,0,0.94,0.06,-0.06,0,0.91,0.12,-0.07,0,2016-05-10,Kepler
7303253,Kepler-711,b,Kepler-711 b,Transit,0,1,23.58914398,6.647E-5,-6.647E-5,0,,,,,,,,,,,,,,,,,,0.304,0.03,-0.056,0,,,,,0,1,0,1,19h49m50.40s,297.460015,+42d50m23.7s,42.839924,664.0,76.22,-56.76,0,635.76,11.44,-11.44,0,15.316,,0,Kepler-band,15.329,,0,5222.0,236.98,-219.6,0,0.84,0.06,-0.06,0,0.8,0.08,-0.06,0,2016-05-10,Kepler
7373451,Kepler-712,b,Kepler-712 b,Transit,0,2,21.02247699,4.431E-5,-4.431E-5,0,,,,,,,,,,,,,,,,,,0.304,0.012,-0.01,0,,,,,0,1,0,1,19h39m38.34s,294.909734,+42d56m06.9s,42.935261,944.0,31.55,-31.79,0,893.35,33.8,-33.8,0,15.859,,0,Kepler-band,15.854,,0,5148.0,83.48,-78.09,0,0.84,0.03,-0.04,0,0.78,0.02,-0.02,0,2016-05-10,Kepler
7373451,Kepler-712,c,Kepler-712 c,Transit,0,2,226.89047,0.001096,-0.001096,0,,,,,,,,,,,,,,,,,,0.433,0.023,-0.037,0,,,,,0,1,0,1,19h39m38.34s,294.909734,+42d56m06.9s,42.935261,944.0,31.55,-31.79,0,893.35,33.8,-33.8,0,15.859,,0,Kepler-band,15.854,,0,5148.0,83.48,-78.09,0,0.84,0.03,-0.04,0,0.78,0.02,-0.02,0,2016-05-10,Kepler
7458762,Kepler-713,b,Kepler-713 b,Transit,0,1,7.411141,1.344E-5,-1.344E-5,0,,,,,,,,,,,,,,,,,,0.221,0.045,-0.026,0,,,,,0,1,0,1,19h42m36.36s,295.651502,+43d01m47.4s,43.029831,1003.0,209.52,-127.6,0,1124.14,33.65,-33.65,0,15.031,,0,Kepler-band,15.019,,0,5785.0,265.49,-233.97,0,0.98,0.11,-0.08,0,0.99,0.2,-0.12,0,2016-05-10,Kepler
7585481,Kepler-714,b,Kepler-714 b,Transit,0,1,8.09888799,2.19E-6,-2.19E-6,0,,,,,,,,,,,,,,,,,,0.863,0.222,-0.09,0,,,,,0,1,0,1,18h50m47.89s,282.699531,+43d16m21.9s,43.272743,1460.0,363.85,-160.8,0,2219.26,106.28,-106.28,0,15.261,,0,Kepler-band,15.241,,0,5995.0,106.7,-117.06,0,1.09,0.08,-0.07,0,1.12,0.29,-0.12,0,2016-05-10,Kepler
7663691,Kepler-715,b,Kepler-715 b,Transit,0,1,10.00652995,1.932E-5,-1.932E-5,0,,,,,,,,,,,,,,,,,,0.335,0.074,-0.045,0,,,,,0,1,0,1,18h54m31.38s,283.630767,+43d22m45.8s,43.379398,1214.0,266.32,-120.49,0,1379.76,50.71,-50.71,0,15.063,,0,Kepler-band,15.033,,0,5871.0,99.55,-97.1,0,1.04,0.06,-0.06,0,1.04,0.23,-0.1,0,2016-05-10,Kepler
7678434,Kepler-716,b,Kepler-716 b,Transit,0,1,10.37168453,1.449E-5,-1.449E-5,0,,,,,,,,,,,,,,,,,,0.259,0.031,-0.015,0,,,,,0,1,0,1,19h21m34.37s,290.393214,+43d21m50.0s,43.363899,675.0,37.17,-38.11,0,646.75,9.03,-9.03,0,15.193,,0,Kepler-band,15.156,,0,5099.0,52.72,-72.75,0,0.83,0.04,-0.04,0,0.78,0.04,-0.04,0,2016-05-10,Kepler
7685981,Kepler-717,b,Kepler-717 b,Transit,0,1,4.40840023,1.493E-5,-1.493E-5,0,,,,,,,,,,,,,,,,,,0.216,0.022,-0.031,0,,,,,0,1,0,1,19h31m51.73s,292.965535,+43d20m47.0s,43.34639,1126.0,119.93,-85.06,0,3065.41,357.76,-357.76,0,15.662,,0,Kepler-band,15.624,,0,5485.0,120.85,-81.84,0,0.88,0.05,-0.05,0,0.85,0.09,-0.06,0,2016-05-10,Kepler
7849854,Kepler-718,b,Kepler-718 b,Transit,0,1,2.0523499,1.5E-7,-1.5E-7,0,,,,,,,,,,,,,,,,,,1.477,0.622,-0.278,0,,,,,0,1,0,1,19h58m14.85s,299.561877,+43d30m12.8s,43.503559,1520.0,661.22,-306.43,0,1351.13,49.93,-49.93,0,15.257,,0,Kepler-band,15.246,,0,6191.0,307.31,-307.12,0,1.18,0.23,-0.14,0,1.3,0.55,-0.24,0,2016-05-10,Kepler
8039892,Kepler-719,b,Kepler-719 b,Transit,0,1,5.00731778,1.25E-6,-1.25E-6,0,,,,,,,,,,,,,,,,,,0.76,0.163,-0.08,0,,,,,0,1,0,1,19h42m08.67s,295.536136,+43d53m04.0s,43.884453,1427.0,313.69,-169.25,0,2683.68,271.88,-271.88,0,15.813,,0,Kepler-band,15.904,,0,5777.0,199.43,-220.79,0,0.99,0.08,-0.07,0,0.98,0.21,-0.1,0,2016-05-10,Kepler
8255887,Kepler-720,b,Kepler-720 b,Transit,0,1,4.70832654,7.3E-7,-7.3E-7,0,,,,,,,,,,,,,,,,,,0.75,0.144,-0.071,0,,,,,0,1,0,1,19h54m32.56s,298.635649,+44d10m15.4s,44.170944,880.0,191.51,-93.94,0,1097.51,38.29,-38.29,0,15.113,,0,Kepler-band,15.164,,0,5618.0,328.49,-250.53,0,0.95,0.11,-0.07,0,0.92,0.18,-0.09,0,2016-05-10,Kepler
8414716,Kepler-721,b,Kepler-721 b,Transit,0,1,5.39202539,6.77E-6,-6.77E-6,0,,,,,,,,,,,,,,,,,,0.236,0.012,-0.012,0,,,,,0,1,0,1,18h57m43.32s,284.430506,+44d28m49.9s,44.480534,848.0,42.02,-43.0,0,951.02,35.37,-35.37,0,15.651,,0,Kepler-band,15.643,,0,5075.0,53.6,-56.09,0,0.82,0.04,-0.04,0,0.78,0.04,-0.04,0,2016-05-10,Kepler
8490993,Kepler-722,b,Kepler-722 b,Transit,0,2,4.09357325,8.1E-6,-8.1E-6,0,,,,,,,,,,,,,,,,,,0.235,0.063,-0.026,0,,,,,0,1,0,1,19h21m03.19s,290.263285,+44d33m23.2s,44.55645,1375.0,364.25,-157.69,0,1284.53,48.69,-48.69,0,15.399,,0,Kepler-band,15.373,,0,5863.0,103.52,-131.89,0,1.03,0.07,-0.07,0,1.05,0.28,-0.11,0,2016-05-10,Kepler
8490993,Kepler-722,c,Kepler-722 c,Transit,0,2,105.144749,0.001675,-0.001675,0,,,,,,,,,,,,,,,,,,0.252,0.05,-0.029,0,,,,,0,1,0,1,19h21m03.19s,290.263285,+44d33m23.2s,44.55645,1375.0,364.25,-157.69,0,1284.53,48.69,-48.69,0,15.399,,0,Kepler-band,15.373,,0,5863.0,103.52,-131.89,0,1.03,0.07,-0.07,0,1.05,0.28,-0.11,0,2016-05-10,Kepler
8544996,Kepler-723,b,Kepler-723 b,Transit,0,1,4.08227507,2.3E-7,-2.3E-7,0,,,,,,,,,,,,,,,,,,1.088,0.141,-0.07,0,,,,,0,1,0,1,18h59m19.31s,284.830468,+44d39m29.3s,44.658142,965.0,125.65,-67.84,0,1376.7,210.31,-210.31,0,15.198,,0,Kepler-band,15.201,,0,5539.0,75.49,-85.21,0,0.92,0.04,-0.05,0,0.89,0.12,-0.06,0,2016-05-10,Kepler
8628973,Kepler-724,b,Kepler-724 b,Transit,0,1,3.31494634,1.72E-6,-1.72E-6,0,,,,,,,,,,,,,,,,,,0.294,0.036,-0.021,0,,,,,0,1,0,1,19h33m49.16s,293.454838,+44d47m34.1s,44.792797,862.0,109.41,-64.79,0,874.14,21.01,-21.01,0,15.142,,0,Kepler-band,15.121,,0,5437.0,176.17,-122.72,0,0.9,0.06,-0.05,0,0.86,0.1,-0.06,0,2016-05-10,Kepler
8672910,Kepler-725,b,Kepler-725 b,Transit,0,1,39.64317811,1.11E-5,-1.11E-5,0,,,,,,,,,,,,,,,,,,0.948,0.076,-0.053,0,,,,,0,1,0,1,18h55m54.60s,283.977492,+44d48m41.6s,44.811562,778.0,61.4,-47.19,0,775.25,14.14,-14.14,0,15.011,,0,Kepler-band,14.993,,0,5363.0,59.19,-62.84,0,0.88,0.04,-0.04,0,0.84,0.07,-0.05,0,2016-05-10,Kepler
8689031,Kepler-726,b,Kepler-726 b,Transit,0,1,21.80451088,4.512E-5,-4.512E-5,0,,,,,,,,,,,,,,,,,,0.291,0.029,-0.031,0,,,,,0,1,0,1,19h26m52.15s,291.717311,+44d53m14.3s,44.887306,838.0,85.17,-66.83,0,778.97,14.51,-14.51,0,15.067,,0,Kepler-band,15.035,,0,5452.0,122.89,-94.31,0,0.88,0.05,-0.05,0,0.85,0.08,-0.07,0,2016-05-10,Kepler
8826878,Kepler-727,b,Kepler-727 b,Transit,0,1,5.15448442,8.58E-6,-8.58E-6,0,,,,,,,,,,,,,,,,,,0.226,0.031,-0.028,0,,,,,0,1,0,1,19h39m23.26s,294.846908,+45d02m03.9s,45.034416,892.0,102.89,-71.83,0,851.72,20.87,-20.87,0,15.365,,0,Kepler-band,15.352,,0,5441.0,107.87,-157.44,0,0.89,0.05,-0.06,0,0.86,0.1,-0.06,0,2016-05-10,Kepler
8883593,Kepler-728,b,Kepler-728 b,Transit,0,1,5.74347727,7.17E-6,-7.17E-6,0,,,,,,,,,,,,,,,,,,0.298,0.04,-0.023,0,,,,,0,1,0,1,19h24m22.17s,291.092356,+45d06m55.9s,45.115528,1236.0,169.29,-102.09,0,1859.74,95.94,-95.94,0,15.543,,0,Kepler-band,15.525,,0,5660.0,133.1,-108.4,0,0.95,0.06,-0.06,0,0.93,0.12,-0.07,0,2016-05-10,Kepler
9077124,Kepler-729,b,Kepler-729 b,Transit,0,1,3.16635371,2.42E-6,-2.42E-6,0,,,,,,,,,,,,,,,,,,0.319,0.037,-0.022,0,,,,,0,1,0,1,19h05m26.43s,286.360112,+45d24m51.5s,45.414295,1271.0,152.3,-92.13,0,2036.24,113.65,-113.65,0,15.603,,0,Kepler-band,15.547,,0,5633.0,71.02,-56.34,0,0.94,0.04,-0.06,0,0.91,0.11,-0.06,0,2016-05-10,Kepler
9141746,Kepler-730,b,Kepler-730 b,Transit,0,2,6.49168281,,,0,0.0694,0.0016,-0.0012,0,,,,,86.96,0.37,-0.31,0,,,,,,1.1,0.047,-0.05,0,,,,,0,1,0,1,19h02m13.15s,285.554804,+45d34m43.9s,45.578857,2020.2,77.54,-81.62,0,2052.36,127.03,-127.03,0,15.649,,0,Kepler-band,15.611,,0,5620.0,55.0,-59.0,0,1.05,0.07,-0.05,0,1.41,0.05,-0.05,0,2019-01-17,Kepler
9141746,Kepler-730,c,Kepler-730 c,Transit,0,2,2.85188338,,,0,0.03997,8.9E-4,-6.9E-4,0,,,,,83.81,1.1,-0.83,0,,,,,,0.14,0.012,-0.012,0,,,,,0,1,0,0,19h02m13.15s,285.554804,+45d34m43.9s,45.578857,2020.2,77.54,-81.62,0,2052.36,127.03,-127.03,0,15.649,,0,Kepler-band,15.611,,0,5620.0,55.0,-59.0,0,1.05,0.07,-0.05,0,1.41,0.05,-0.05,0,2019-01-17,Kepler
9166862,Kepler-731,b,Kepler-731 b,Transit,0,1,3.85560355,2.9E-7,-2.9E-7,0,,,,,,,,,,,,,,,,,,1.238,0.284,-0.136,0,,,,,0,1,0,1,19h45m34.36s,296.393174,+45d34m06.8s,45.568558,1311.0,302.36,-153.48,0,1302.5,51.77,-51.77,0,15.272,,0,Kepler-band,15.285,,0,5849.0,200.38,-139.51,0,1.03,0.09,-0.06,0,1.06,0.24,-0.12,0,2016-05-10,Kepler
9388479,Kepler-732,b,Kepler-732 b,Transit,0,2,9.46781405,6.18E-6,-6.18E-6,0,,,,,,,,,,,,,,,,,,0.194,0.011,-0.014,0,,,,,0,1,0,1,18h54m55.69s,283.732021,+45d57m31.6s,45.958771,150.0,11.13,-13.53,0,175.71,0.86,-0.86,0,15.073,,0,Kepler-band,15.052,,0,3631.0,35.05,-37.03,0,0.49,0.03,-0.03,0,0.46,0.03,-0.03,0,2016-05-10,Kepler
9388479,Kepler-732,c,Kepler-732 c,Transit,0,2,0.89304124,4.6E-7,-4.6E-7,0,,,,,,,,,,,,,,,,,,0.113,0.006,-0.009,0,,,,,0,1,0,1,18h54m55.69s,283.732021,+45d57m31.6s,45.958771,150.0,11.13,-13.53,0,175.71,0.86,-0.86,0,15.073,,0,Kepler-band,15.052,,0,3631.0,35.05,-37.03,0,0.49,0.03,-0.03,0,0.46,0.03,-0.03,0,2016-05-10,Kepler
9406990,Kepler-733,b,Kepler-733 b,Transit,0,1,20.83424726,5.682E-5,-5.682E-5,0,,,,,,,,,,,,,,,,,,0.252,0.041,-0.017,0,,,,,0,1,0,1,19h32m04.39s,293.018285,+45d54m52.9s,45.914692,980.0,89.42,-63.68,0,941.15,22.45,-22.45,0,15.412,,0,Kepler-band,15.395,,0,5418.0,89.83,-94.34,0,0.9,0.04,-0.05,0,0.86,0.08,-0.05,0,2016-05-10,Kepler
9479273,Kepler-734,b,Kepler-734 b,Transit,0,1,6.10485286,2.89E-6,-2.89E-6,0,,,,,,,,,,,,,,,,,,0.318,0.012,-0.012,0,,,,,0,1,0,1,19h48m10.95s,297.045638,+46d01m38.5s,46.027363,553.0,23.23,-22.51,0,1196.68,27.01,-27.01,0,15.017,,0,Kepler-band,14.412,,0,5326.0,51.69,-44.6,0,0.85,0.03,-0.04,0,0.78,0.03,-0.03,0,2016-05-10,Kepler
9512687,Kepler-735,b,Kepler-735 b,Transit,0,1,11.51516988,1.516E-5,-1.516E-5,0,,,,,,,,,,,,,,,,,,0.263,0.014,-0.011,0,,,,,0,1,0,1,18h58m45.33s,284.688884,+46d10m20.1s,46.172249,790.0,39.64,-33.1,0,709.01,14.63,-14.63,0,15.386,,0,Kepler-band,15.385,,0,5107.0,42.91,-45.51,0,0.85,0.03,-0.04,0,0.8,0.04,-0.03,0,2016-05-10,Kepler
9513865,Kepler-736,b,Kepler-736 b,Transit,0,1,3.60147201,5.43E-6,-5.43E-6,0,,,,,,,,,,,,,,,,,,0.261,0.015,-0.047,0,,,,,0,1,0,1,19h01m33.92s,285.391321,+46d10m51.4s,46.180939,1007.0,60.06,-55.57,0,1034.74,34.5,-34.5,0,15.733,,0,Kepler-band,15.742,,0,5217.0,50.31,-50.86,0,0.86,0.04,-0.05,0,0.81,0.05,-0.04,0,2016-05-10,Kepler
9710326,Kepler-737,b,Kepler-737 b,Transit,0,1,28.59915399,5.673E-5,-5.673E-5,0,,,,,,,,,,,,,,,,,,0.175,0.01,-0.01,0,,,,,0,1,0,1,19h27m27.08s,291.862847,+46d25m45.3s,46.429256,195.0,14.08,-12.73,0,206.33,1.16,-1.16,0,15.19,,0,Kepler-band,15.146,,0,3813.0,40.13,-38.49,0,0.51,0.03,-0.03,0,0.48,0.03,-0.02,0,2016-05-10,Kepler
9761882,Kepler-738,b,Kepler-738 b,Transit,0,1,24.58721573,8.802E-5,-8.802E-5,0,,,,,,,,,,,,,,,,,,0.223,0.018,-0.015,0,,,,,0,1,0,1,19h10m16.72s,287.569664,+46d34m04.3s,46.567859,992.0,72.65,-70.33,0,1149.93,39.67,-39.67,0,15.598,,0,Kepler-band,15.591,,0,5327.0,66.34,-61.93,0,0.86,0.04,-0.05,0,0.82,0.06,-0.05,0,2016-05-10,Kepler
9766437,Kepler-739,b,Kepler-739 b,Transit,0,1,12.53248465,2.295E-5,-2.295E-5,0,,,,,,,,,,,,,,,,,,0.296,0.044,-0.026,0,,,,,0,1,0,1,19h20m16.32s,290.067985,+46d34m44.9s,46.57914,1128.0,146.14,-88.8,0,1426.57,53.05,-53.05,0,15.485,,0,Kepler-band,15.453,,0,5601.0,89.95,-87.84,0,0.93,0.05,-0.06,0,0.9,0.11,-0.07,0,2016-05-10,Kepler
9820483,Kepler-740,b,Kepler-740 b,Transit,0,1,3.58410122,1.99E-6,-1.99E-6,0,,,,,,,,,,,,,,,,,,0.408,0.047,-0.024,0,,,,,0,1,0,1,19h05m55.74s,286.482254,+46d41m32.8s,46.692451,1262.0,143.42,-79.76,0,1504.07,72.25,-72.25,0,15.954,,0,Kepler-band,15.923,,0,5438.0,62.55,-80.55,0,0.91,0.04,-0.04,0,0.87,0.1,-0.05,0,2016-05-10,Kepler
